url	orgao
https://www.acrelandia.ac.gov.br/novo-portal-transparencia	Portal da Transparência da Prefeitura do Município de Acrelândia
http://www.sisintec.com.br/cma/informacao/externo/	Portal da Transparência da Câmara Municipal de Acrelândia
https://www.assisbrasil.ac.gov.br/transparencia/#	Portal da Transparência da Prefeitura do Município de Assis Brasil
https://e-gov.betha.com.br/transparencia/01037-041/recursos.faces?mun=suy9dMJmVj_9boBqQOqTyA==	Portal da Transparência da Câmara Municipal de Assis Brasil
https://www.brasileia.ac.gov.br/transparencia	Portal da Transparência da Prefeitura do Município de Brasiléia
http://www.sisintec.com.br/cmbj/informacao/externo/	Portal da Transparência da Câmara Municipal de Bujari
http://ac.portaldatransparencia.com.br/prefeitura/capixaba/	Portal da Transparência da Prefeitura do Município de Capixaba
https://e-gov.betha.com.br/transparencia/01037-041/recursos.faces?mun=kntTEVwGma5iDxhWs_B0aQ==	Portal da Transparência da Câmara Municipal de Capixaba
https://e-gov.betha.com.br/transparencia/01037-041/recursos.faces?mun=b4wcwS-BldLqGX70wW_png==	Portal da Transparência da Prefeitura do Município de Cruzeiro do Sul
https://e-gov.betha.com.br/transparencia/01037-041/recursos.faces?mun=NEbovM80Bc1764uBvJTs-g==	Portal da Transparência da Câmara Municipal de Cruzeiro do Sul
https://www.epitaciolandia.ac.gov.br/novo-portal-transparencia	Portal da Transparência da Prefeitura do Município de Epitaciolândia
https://e-gov.betha.com.br/transparencia/01037-011/recursos.faces?mun=O5CpgMQ6eZh7AXzLGuIGXQ==	Portal da Transparência da Câmara Municipal de Epitaciolândia
https://www.feijo.ac.gov.br/transparencia-inicial	Portal da Transparência da Prefeitura do Município de Feijó
http://www.sisintec.com.br/cmfj/informacao/externo/	Portal da Transparência da Câmara Municipal de Feijó
https://www.jordao.ac.gov.br/transparencia	Portal da Transparência da Prefeitura do Município de Jordão
https://www.jordao.ac.leg.br/transparencia	Portal da Transparência da Câmara Municipal de Jordão
https://www.manoelurbano.ac.gov.br/transparencia	Portal da Transparência da Prefeitura do Município de Manoel Urbano
https://www.marechalthaumaturgo.ac.gov.br/transparencia	Portal da Transparência da Prefeitura do Município de Marechal Thaumaturgo
https://e-gov.betha.com.br/transparencia/01037-041/recursos.faces?mun=nYf6c9-0Ls8GrQGTE2P-qA==	Portal da Transparência da Câmara Municipal de Marechal Thaumaturgo
https://www.manciolima.ac.gov.br/transparencia	Portal da Transparência da Prefeitura do Município de Mâncio Lima
http://www.sisintec.com.br/cmml/informacao/externo/	Portal da Transparência da Câmara Municipal de Mâncio Lima
https://www.placidodecastro.ac.gov.br/noticias	Portal da Transparência da Prefeitura do Município de Plácido de Castro
http://www.sisintec.com.br/cmpc/informacao/externo/	Portal da Transparência da Câmara Municipal de Plácido de Castro
https://www.portoacre.ac.gov.br/portal-de-transparencia	Portal da Transparência da Prefeitura do Município de Porto Acre
http://www.sisintec.com.br/cmpa/informacao/externo/	Portal da Transparência da Câmara Municipal de Porto Acre
https://www.portowalter.ac.gov.br/novo-portal-transparencia	Portal da Transparência da Prefeitura do Município de Porto Walter
https://e-gov.betha.com.br/transparencia/01037-041/recursos.faces?mun=fvGsPHJkGU8JpQwtddTWgQ==	Portal da Transparência da Câmara Municipal de Porto Walter
http://transparencia.riobranco.ac.gov.br/	Portal da Transparência do Município de Rio Branco
https://www.riobranco.ac.leg.br/transparencia/portal-transparencia	Portal da Transparência da Câmara Municipal de Rio Branco
https://www.rodriguesalves.ac.gov.br/transparencia	Portal da Transparência da Prefeitura do Município de Rodrigues Alves
https://e-gov.betha.com.br/transparencia/01037-041/recursos.faces?mun=XOVMhVweax0BbESdt1ZbEw==	Portal da Transparência da Câmara Municipal de Rodrigues Alves
http://www.sisintec.com.br/pmsr/informacao/externo/	Portal da Transparência da Prefeitura do Município de Santa Rosa do Purus
http://www.sisintec.com.br/cmsr/informacao/externo/	Portal da Transparência da Câmara Municipal de Santa Rosa do Purus
https://www.senamadureira.ac.gov.br/transparencia	Portal da Transparência da Prefeitura do Município de Sena Madureira
http://www.sisintec.com.br/cmsm/informacao/externo/	Portal da Transparência da Câmara Municipal de Sena Madureira
https://www.senadorguiomard.ac.gov.br/transparencia	Portal da Transparência da Prefeitura do Município de Senador Guiomard
https://www.senadorguiomard.ac.leg.br/transparencia	Portal da Transparência da Câmara Municipal de Senador Guiomard
https://www.tarauaca.ac.gov.br/portal-da-transparencia	Portal da Transparência da Prefeitura do Município de Tarauacá
https://www.tarauaca.ac.leg.br/transparencia	Portal da Transparência da Câmara Municipal de Tarauacá
https://www.xapuri.ac.gov.br/portal-transparencia	Portal da Transparência da Prefeitura do Município de Xapuri
